,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS,datetime,Hourly_Entries,Hourly_Exits
49794,N063A,R011,00-00-00,42 ST-PORT AUTH,ACENQRS1237W,IND,04/03/2018,20:00:00,REGULAR,508293,2025626,2018-04-03 20:00:00,66.0,4770.0
143507,R202,R042,00-06-00,BOWLING GREEN,45,IRT,03/31/2018,00:00:00,REGULAR,82777,31031,2018-03-31 00:00:00,21137.0,4729.0
119407,PTH19,R549,02-00-03,NEWARK C,1,PTH,03/31/2018,02:41:33,REGULAR,68669,4972,2018-03-31 02:41:33,48641.0,4502.0
49800,N063A,R011,00-00-00,42 ST-PORT AUTH,ACENQRS1237W,IND,04/04/2018,20:00:00,REGULAR,510430,2035343,2018-04-04 20:00:00,98.0,4410.0
118889,PTH18,R549,01-00-08,NEWARK BM BW,1,PTH,03/31/2018,01:16:35,REGULAR,312172,18090,2018-03-31 01:16:35,95696.0,4395.0
49807,N063A,R011,00-00-00,42 ST-PORT AUTH,ACENQRS1237W,IND,04/05/2018,20:00:00,REGULAR,512901,2045420,2018-04-05 20:00:00,111.0,4305.0
196444,S102,R165,00-00-01,TOMPKINSVILLE,1,SRT,03/31/2018,02:00:00,REGULAR,531737,4294,2018-03-31 02:00:00,3254.0,4282.0
49837,N063A,R011,00-00-01,42 ST-PORT AUTH,ACENQRS1237W,IND,04/03/2018,20:00:00,REGULAR,1278738491,173817333,2018-04-03 20:00:00,122.0,4184.0
49788,N063A,R011,00-00-00,42 ST-PORT AUTH,ACENQRS1237W,IND,04/02/2018,20:00:00,REGULAR,506080,2014779,2018-04-02 20:00:00,116.0,3844.0
49813,N063A,R011,00-00-00,42 ST-PORT AUTH,ACENQRS1237W,IND,04/06/2018,20:00:00,REGULAR,515391,2054828,2018-04-06 20:00:00,155.0,3783.0
115031,PTH07,R550,00-01-05,CITY / BUS,1,PTH,03/31/2018,01:10:01,REGULAR,16544,8893,2018-03-31 01:10:01,3574.0,3745.0
120756,PTH21,R540,01-00-00,PATH WTC 2,1,PTH,04/05/2018,10:35:21,REGULAR,40007,214652,2018-04-05 10:35:21,100.0,3669.0
49850,N063A,R011,00-00-01,42 ST-PORT AUTH,ACENQRS1237W,IND,04/05/2018,20:00:00,REGULAR,1278745646,173830525,2018-04-05 20:00:00,234.0,3657.0
49843,N063A,R011,00-00-01,42 ST-PORT AUTH,ACENQRS1237W,IND,04/04/2018,20:00:00,REGULAR,1278741786,173823764,2018-04-04 20:00:00,225.0,3609.0
